Variable,Problema detectado,Transformación,Registros afectados,Justificación
Todas (fila completa),Filas de encabezado de cada CSV departamental quedaron incluidas como datos al concatenar (pipeline unir_datos.py).,Se eliminaron 22 filas donde CODIGO == 'CODIGO'.,22,"No son establecimientos reales; son un artefacto del proceso de unión. Se identificaron por comparación exacta contra el nombre de columna, criterio confirmado en el diagnóstico (01_diagnostico.ipynb)."
DIRECCION,"Placeholders de dato faltante (espacios, símbolos sueltos, 'SIN DATO', 'N/A', etc.) no reconocidos como NA por pandas.",Se convirtieron 13 valores placeholder a NA explícito.,13,Unifica el conteo real de valores faltantes; ver nota sobre posibles significados administrativos distintos en el documento
SUPERVISOR,"Placeholders de dato faltante (espacios, símbolos sueltos, 'SIN DATO', 'N/A', etc.) no reconocidos como NA por pandas.",Se convirtieron 3 valores placeholder a NA explícito.,3,Unifica el conteo real de valores faltantes; ver nota sobre posibles significados administrativos distintos en el documento
DIRECTOR,"Placeholders de dato faltante (espacios, símbolos sueltos, 'SIN DATO', 'N/A', etc.) no reconocidos como NA por pandas.",Se convirtieron 411 valores placeholder a NA explícito.,411,Unifica el conteo real de valores faltantes; ver nota sobre posibles significados administrativos distintos en el documento
Todas (texto),"Espacios al inicio/fin, espacios múltiples internos y formas Unicode no normalizadas (NFC).",Trim + colapso de espacios múltiples + normalización Unicode NFC aplicados a todas las columnas.,0,Estandariza la representación de texto sin alterar el contenido semántico; requerido por el punto 5c de la guía.
ESTABLECIMIENTO,Comillas dobles embebidas en el nombre del establecimiento (ruido de captura del portal).,Se eliminó el carácter de comillas dobles en 2228 registros.,2228,Las comillas no aportan significado y dificultan comparaciones/matching de nombres.
ESTABLECIMIENTO_SIGLA (derivada),El nombre del establecimiento a veces incluye una sigla institucional entre guiones al final.,Se creó la variable derivada ESTABLECIMIENTO_SIGLA extrayendo el texto entre guiones finales en 270 registros; el nombre original se conserva intacto.,270,Facilita búsquedas/agrupaciones por sigla sin perder el nombre oficial completo. Ver Libro de Códigos.
DEPARTAMENTO / MUNICIPIO,"'CIUDAD CAPITAL' no es un departamento oficial; es la zona metropolitana del departamento de Guatemala, y MUNICIPIO contenía 'ZONA N' en vez de un municipio real.",Se remapeó DEPARTAMENTO 'CIUDAD CAPITAL' -> 'GUATEMALA' y MUNICIPIO -> 'GUATEMALA' en 2161 registros; el número de zona se preservó en la variable derivada ZONA.,2161,"Alinea DEPARTAMENTO con el catálogo oficial de 22 departamentos sin perder la granularidad de zona, que queda disponible en ZONA."
DEPARTAMENTAL,No corresponde 1:1 con DEPARTAMENTO (subdivide Guatemala y Quiché en zonas de supervisión) y usa tildes que DEPARTAMENTO no usa.,"Se conserva sin fusionar con DEPARTAMENTO; solo se normalizó texto (trim, espacios, Unicode NFC) en el paso 3.",6094,NOTA: requeriría confirmar con el MINEDUC si es una división administrativa oficial. Fusionarla sin esa confirmación arriesga perder información real de zona de supervisión.
DISTRITO,Conviven al menos dos formatos de codificación (DD-NNN y DD-DD-NNNN) y un residual sin patrón reconocible.,"No se fuerza un único formato (se documentan ambos como válidos). Se marcaron 70 filas con formato atípico en DISTRITO_FORMATO_ATIPICO para revisión manual, sin modificar su valor.",70,NOTA: requeriría confirmar con el MINEDUC el significado de cada formato antes de normalizar; se prefiere no alterar el dato original a arriesgar destruir información.
